Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,Kiel's Pond,2026-02-17,40.96419,-81.68374,No,Doylestown,Wayne,Ohio,Rural,Pond,Natural,Permanent,Stream or River,stream fed pond,,06:40 PM,06:43 PM,In person,8.3,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Kiel's Pond,2025-08-28,40.96419,-81.68374,No,Doylestown,Wayne,Ohio,Rural,Pond,Natural,Permanent,Stream or River,stream fed pond,,08:43 PM,08:46 PM,In person,10,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Summerhouse Large SE Pond,2026-02-16,30.209602,-81.377642,No,Ponte Vedra Beach,St. Johns,Florida,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,A large retention pond.,Enter the beach side of the Summerhouse neighborhood from A1A. This site is on the right side as you drive straight on Ocean Place.,06:57 PM,07:00 PM,In person,13.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Southern Leopard Frog,1 - Individuals can be counted; there is space between calls,
,Brimfield 43 Old Farm Pond,2025-09-28,41.112957,-81.342648,No,Brimfield Township,Portage,Ohio,Suburban,Pond,Natural,Permanent,Pond,"Woodland swamp on one end, other end is pond.",,08:42 PM,08:45 PM,In person,22.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Heard tree frog during the day. Just twice. A single call.
,Brimfield 43 Old Farm Pond,2025-08-23,41.112957,-81.342648,No,Brimfield Township,Portage,Ohio,Suburban,Pond,Natural,Permanent,Pond,"Woodland swamp on one end, other end is pond.",,09:05 PM,,In person,21.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Young Road Trailhead,2025-09-26,41.19079,-81.39902,No,Stow,Summit,Ohio,Rural,Pond,Not Known,Permanent,Not Known,,Walk east on Hike & Bike Trail from Young Road Trailhead to bench on north side of the trail in front of pond.,08:16 PM,08:19 PM,In person,18.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Young Road Trailhead,2025-08-22,41.19079,-81.39902,No,Stow,Summit,Ohio,Rural,Pond,Not Known,Permanent,Not Known,,Walk east on Hike & Bike Trail from Young Road Trailhead to bench on north side of the trail in front of pond.,09:39 PM,09:42 PM,In person,20.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 03,2025-09-16,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:44 PM,09:47 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Chippewa Lake Ramp 03,2025-09-16,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:44 PM,09:47 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 03,2025-09-16,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:44 PM,09:47 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 03,2025-08-15,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",10:40 PM,10:43 PM,In person,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD Chippewa Lake Ramp 03,2025-08-15,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",10:40 PM,10:43 PM,In person,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2025-09-16,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:31 PM,09:34 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Chippewa Lake Ramp 01,2025-09-16,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:31 PM,09:34 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2025-09-16,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:31 PM,09:34 PM,In person,16.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2025-08-15,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",10:31 PM,10:34 PM,In person,20.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD Chippewa Lake Ramp 01,2025-08-15,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",10:31 PM,10:34 PM,In person,20.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2025-08-15,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",10:31 PM,10:34 PM,In person,20.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Vernal Pool 01,2025-09-16,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,08:20 PM,08:23 PM,In person,17.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Vernal Pool 01,2025-09-16,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,08:20 PM,08:23 PM,In person,17.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Cope's Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Brunswick Vernal Pool 01,2025-09-16,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,08:05 PM,08:08 PM,In person,17.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Vernal Pool 01,2025-08-15,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,09:00 PM,09:03 PM,In person,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Vernal Pool 01,2025-08-15,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,09:00 PM,09:03 PM,In person,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Brunswick Vernal Pool 01,2025-08-15,41.235197,-81.814732,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,"From the Susan Hambley Nature Center parking lot, follow the paved path past the nature center and sign.  Shortly after, you will find a dirt/gravel trail to the left, follow this until the first bench on the right which overlooks the pool.",,09:00 PM,09:03 PM,In person,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,Crescent Ridge Pond,2025-08-31,41.22844,-81.74565,No,Hinckley,Medina,Ohio,Rural,Pond,Natural,Permanent,Stream or River,,,08:45 PM,08:48 PM,In person,17.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Fairlawn Park Swamp,2025-08-30,41.11117,-81.62933,No,Fairlawn,Summit,Ohio,Urban,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,swampy pond with lots of woody reeds,,08:42 PM,08:45 PM,In person,15.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Old Man Cincinnat,2025-08-29,40.76187,-81.48628,No,Massillon,Stark,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Groundwater,Classification code: PF01A,,09:00 PM,09:03 PM,In person,13.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Not Noted,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,Faint call
,MCPD Mugrage Drainage 01,2025-08-29,41.14064,-81.78266,No,Medina,Medina,Ohio,Suburban,Ditch,Human-made,Not Known,Precipitation or Runoff,Drainage ditch near dog park,"From the western parking lot, follow the paved yellow trail to the north past the dog park entrance.  Stop just before the green nature trail, and turn to face the ditch to the north.",08:44 PM,08:47 PM,In person,13.3,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Mugrage Vernal Pool 02,2025-08-29,41.14057,-81.7817,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Not Known,Not Known,vernal pool to north of paved trail,"From MCPD Mugrage Drainage 01, continue to follow the paved yellow trail to the west.  Several paces past the notable right or southeast bend in the trail stop and turn to face the vernal pool to the north.",08:38 PM,08:41 PM,In person,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Mugrage Vernal Pool 03,2025-08-29,41.14057,-81.7817,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Not Known,Not Known,vernal pool to south of paved trail,"From MCPD Mugrage Vernal Pool 02, turn around on the yellow paved trail to face the vernal pool to the south of the trail. ",08:33 PM,08:36 PM,In person,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Hickory Pond Akron,2025-08-29,41.099534,-81.528929,No,Akron,Summit,Ohio,Urban,Pond,Human-made,Permanent,Groundwater,Pond on Private Property that was dug in apporx 1949 in an effort to create a foundation for a house,,10:04 PM,10:07 PM,In person,16.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Krabill Lodge Pond,2025-08-29,41.06648,-81.920729,No,Medina,Medina,Ohio,Park District,Pond,Not Known,Permanent,Pond,Pond next to parking lot adjacent to Krabill Lodge,"Park facing west, and walk a few paces to the center of the bank of the pond which borders this side of the parking lot.",08:37 PM,08:40 PM,In person,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"Party going on at lodge, a fair bit of noise + insect noise and light"
,mount pleasant,2025-08-29,40.909655,-81.525535,No,green,summit,Ohio,Suburban,"pond, creek, wetland",Natural,,,"creek running through property with wet grasses on either side, end up at pond",south main street to mount pleasant rd  address is 315 mt pleasand   area is in back of lot,11:28 PM,11:31 PM,In person,10,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,mount pleasant,2025-08-27,40.909655,-81.525535,No,green,summit,Ohio,Suburban,"pond, creek, wetland",Natural,,,"creek running through property with wet grasses on either side, end up at pond",south main street to mount pleasant rd  address is 315 mt pleasand   area is in back of lot,10:42 PM,10:45 PM,In person,11.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,mount pleasant,2025-08-22,40.909655,-81.525535,No,green,summit,Ohio,Suburban,"pond, creek, wetland",Natural,,,"creek running through property with wet grasses on either side, end up at pond",south main street to mount pleasant rd  address is 315 mt pleasand   area is in back of lot,11:07 PM,11:10 PM,In person,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,mount pleasant,2025-08-17,40.909655,-81.525535,No,green,summit,Ohio,Suburban,"pond, creek, wetland",Natural,,,"creek running through property with wet grasses on either side, end up at pond",south main street to mount pleasant rd  address is 315 mt pleasand   area is in back of lot,11:08 PM,11:11 PM,In person,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Tulip Lane Pond,2025-08-28,41.4298,-81.39171,No,Chagrin Falls,Geauga,Ohio,Rural,Pond,Natural,Permanent,Pond,Pond in private residence that also gets water from groundwater,On Tulip Lane in Chagrin Falls Ohio,08:35 PM,08:40 PM,In person,17.2,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,observed american toad (4 inces in yar); toads jump in water when approach pond but hard to observe what species they are prior to jumping away 
,Villages at Sycamore Retention Pond 3,2025-08-28,41.1408,-81.5464,No,Akron,Summit,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,Suburban neighborhood with 4 total retention ponds adjacent to conservation area,"Retention Pond 3 is at the end of Springer Ct, on the East (left) side from the dead end",10:30 PM,10:33 PM,In person,15.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Medium Rain,Some Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,Medina Huntington st pond,2025-08-27,41.1458,-81.8692,No,Medina,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,,08:49 PM,08:52 PM,In person,17.2,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,Medina Huntington st pond,2025-08-27,41.1458,-81.8692,No,Medina,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,,08:49 PM,08:52 PM,In person,17.2,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,Blanchard's Cricket Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Pond,2025-08-27,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,08:45 PM,09:00 PM,In person,13.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Buckeye Woods Pond,2025-08-20,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,08:45 PM,09:00 PM,In person,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Chippewa Inlet South Wetland 01,2025-08-27,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,09:22 PM,09:25 PM,In person,14.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet South Wetland 01,2025-08-27,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,09:22 PM,09:25 PM,In person,14.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet South Wetland 01,2025-08-27,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,09:22 PM,09:25 PM,In person,14.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods 01,2025-08-27,41.104856,-81.919173,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,A woodland swamp which has a walking path through it. There are  vernal pools on both sides of the path.,"Park in the southwestern lot of Buckeye Woods Park, near ballfields. Take the connector trail to the Inlet Trail, turn right (North) and stop to survey at the second bend to the right (East) which should be fairly central to the woodland swamp.",08:54 PM,08:57 PM,In person,14.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Buckeye Woods 01,2025-08-27,41.104856,-81.919173,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Temporary Some Years,Not Known,A woodland swamp which has a walking path through it. There are  vernal pools on both sides of the path.,"Park in the southwestern lot of Buckeye Woods Park, near ballfields. Take the connector trail to the Inlet Trail, turn right (North) and stop to survey at the second bend to the right (East) which should be fairly central to the woodland swamp.",08:54 PM,08:57 PM,In person,14.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",
,Boneta Back Acre,2025-08-26,41.077397,-81.776806,No,Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township,11:08 PM,11:11 PM,In person,11.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"DB: 23-36.  All my sites this night were very quiet with hardly any insect noice, but at this site, the cicadas were fairly lound and continuous."
,Boneta Back Acre,2025-08-13,41.077397,-81.776806,No,Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township,10:01 PM,10:04 PM,In person,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db:36-43
